"10000154","1009958"
"10000154","1733922"
"10000218","2690201"
"10000376","1081655"
"10000376","890145"
"10000622","2637462"
"10000622","618920"
"10000646","2919722"
"10000815","3154427"
"10000903","1589372"
"10001593","1725138"
"10001642","2802199"
"10001642","3170703"
"10001642","3180892"
"10001642","628600"
"10001642","745078"
"10002166","860638"
"10002246","821791"
"10002487","2115061"
"10002745","1090975"
"10003266","1839509"
"10003402","1140823"
"10003483","2394843"
"10004623","3296701"
"10004833","1889422"
"10005012","2513762"
"10005147","839417"
"10005147","903165"
"10005147","917050"
"10005498","1622773"
"10005776","2059715"
"10005776","2102069"
"10005821","851382"
"10005866","627210"
"10005970","3053667"
"10006202","978152"
"10006305","1026338"
"10006571","928166"
"10006669","1079971"
"10006865","3459441"
"10006915","1793787"
"10006937","1023350"
"10007087","780965"
"10007193","1038453"
"10007670","1774440"
"10007862","3222089"
"10007862","854698"
"10007862","882668"
"10007918","1453712"
"10008939","718339"
"10009002","3619959"
"10009835","983903"
"10009956","1679702"
"10009968","3214884"
"10010987","767112"
"10011200","1876436"
"10011231","1552974"
"10011231","1627777"
"10011231","1873572"
"10011231","1883133"
"10011524","2146038"
"10011691","2046599"
"10011691","2909242"
"10011731","2041175"
"10012677","3307087"
"10013101","2138672"
"10013261","1615687"
"10013926","2577019"
"10014443","1473244"
"10014594","1852325"
"10015022","1474260"
"10015595","1872548"
"10015595","2136208"
"10015788","2642971"
"10015788","2947173"
"10015788","3286373"
"10015788","3611032"
"10015788","3812197"
"10015802","3196149"
"10015802","3241077"
"10015802","830245"
"10016369","1654470"
"10016613","1108015"
"10016645","2902689"
"10016645","3484930"
"10016767","2289812"
"10017196","1718692"
"10017201","3187487"
"10017254","1013214"
"10017254","1160809"
"10017935","2646473"
"10018589","1680515"
"10018859","2548314"
"10019123","851292"
"10019123","904245"
"10019978","1045633"
"10020243","3279962"
"10020421","800148"
"10020610","1540264"
"10020802","3108078"
"10021022","3843613"
"10021092","3394125"
"10021145","2023425"
"10021145","2834680"
"10021317","1686469"
"10021735","2150096"
"10021771","3696568"
"10022399","2158382"
"10022477","2388730"
"10022483","3387522"
"10022483","3568913"
"10022483","3637890"
"10022993","1409891"
"10023014","1839334"
"10023054","2657192"
"10023104","2794517"
"10023231","1682437"
"10023231","1759711"
"10023391","1758623"
"10023391","3774082"
"10023391","828682"
"10023421","1538323"
"10023421","1578701"
"10023421","1747957"
"10023421","1800362"
"10023421","1964729"
"10023841","1561547"
"10023841","1980864"
"10024146","2026573"
"10024146","2323096"
"10024146","2802163"
"10024146","3609118"
"10024267","1179555"
"10024431","2577599"
"10024543","1004592"
"10024940","1901255"
"10025032","999326"
"10025839","3092529"
"10025839","3613272"
"10026473","2127634"
"10026851","1532133"
"10027231","1078821"
"10027499","1148211"
"10028050","766822"
"10028072","1119609"
"10028072","879670"
"10029065","3153767"
"10029258","1194200"
"10029445","1766033"
"10029445","2952016"
"10029608","2014774"
"10029698","833268"
"10029753","1540501"
"10029822","2552823"
"10029822","2681875"
"10029890","1641003"
"10030275","1876388"
"10030878","1684349"
"10030905","2843417"
"10031211","928683"
"10031212","1031503"
"10031212","792608"
"10031212","963549"
"10031212","975870"
"10031665","2082252"
"10031716","2014774"
"10031778","1712151"
"10031935","825847"
"10032094","1908497"
"10032094","1962773"
"10032094","2606098"
"10032254","3814954"
"10032579","1661633"
"10033216","1444291"
"10033288","2796569"
"10033638","1097400"
"10033994","1428872"
"10034320","1134809"
"10034321","1452150"
"10034578","1183358"
"10034636","1654470"
"10034636","3602997"
"10034757","1680515"
"10035902","793738"
"10036294","1475204"
"10036642","2509924"
"10036772","1034280"
"10036772","1452829"
"10037004","1973172"
"10037013","852397"
"10037158","1081655"
"10037172","1834710"
"10037193","1199652"
"10037193","1229154"
"10037291","2580572"
"10038647","998505"
"10038884","1083521"
"10038970","2985340"
"10038978","2331668"
"10038978","2855126"
"10038978","2903164"
"10039066","1214778"
"10039274","1065058"
"10039274","982310"
"10039296","1057228"
"10039331","1843713"
"10039331","1868490"
"10039331","1925481"
"10039446","1755268"
"10039468","1512027"
"10039546","2957162"
"10039817","1755221"
"10039817","1801821"
"10039817","1875608"
"10039817","2155795"
"10039818","808153"
"10040842","1732313"
"10040853","1171779"
"10040853","1686303"
"10041680","957349"
"10041732","1179082"
"10042408","1413996"
"10042718","2229732"
"10043087","1222441"
"10043173","1418485"
"10043173","2742652"
"10043174","3759895"
"10043191","2048818"
"10043191","2296997"
"10043203","1941373"
"10043203","849624"
"10043750","2278098"
"10044037","1852224"
"10044037","1950214"
"10044041","1595571"
"10044041","1847700"
"10044075","1819443"
"10044272","1691185"
"10045408","2097469"
"10045437","1628206"
"10045438","3126975"
"10045438","3261662"
"10045524","1054040"
"10045777","1081163"
"10046050","1652636"
"10046070","1673066"
"10046260","1727739"
"10046260","2295954"
"10046333","875257"
"10046706","1132676"
"10046974","1660222"
"10047098","2105457"
"10047415","2067582"
"10047712","1938330"
"10048247","1728129"
"10048247","1868202"
"10048465","1202556"
"10048465","1512658"
"10048465","1793554"
"10048465","848422"
"10048876","811759"
"10048876","917050"
"10049489","2064562"
"10049489","2522763"
"10049506","1776174"
"10049506","1813679"
"10049506","2127963"
"10050300","1032545"
"10050590","1093953"
"10050600","2437820"
"10050673","3387338"
"10051276","1650400"
"10051975","745842"
"10052798","1736546"
"10052843","1931368"
"10052843","861998"
"10053015","1786511"
"10053068","1159455"
"10053285","1513759"
"10053759","1785895"
"10053887","1051190"
"10054262","3433039"
"10054262","4057083"
"10054372","3188102"
"10054602","2782256"
"10054685","1653135"
"10055108","1019522"
"10055856","1586314"
"10055856","1723015"
"10056110","1435944"
"10056391","1654470"
"10056629","3213950"
"10056857","971716"
"10057813","1591291"
"10057988","2827684"
"10058180","1084008"
"10058448","858570"
"10059323","2682146"
"10059353","808976"
"10059671","1628970"
"10059714","1639254"
"10059816","3547917"
"10059996","1654470"
"10060069","2086962"
"10060118","1552325"
"10060184","1416631"
"10060643","3522643"
"10060643","3541749"
"10060742","1415067"
"10060847","2891266"
"10061002","1185115"
"10061002","994206"
"10061342","3234769"
"10061670","917093"
"10062378","2325469"
"10062378","2539770"
"10062378","2821577"
"10062378","3219907"
"10062450","908688"
"10062582","1736546"
"10062594","2080814"
"10062966","1624326"
"10064513","1816639"
"10064647","1032987"
"10064923","1044687"
"10064923","2227375"
"10064923","3327792"
"10064923","3551653"
"10065176","1469526"
"10065310","1399196"
"10065310","3876726"
"10065448","1653252"
"10066861","2309637"
"10066890","1843934"
"10067398","1082241"
"10067479","2633516"
"10067479","3314542"
"10067479","764597"
"10067572","3514279"
"10067753","2206496"
"10068260","3802960"
"10068497","2879605"
"10068497","3542363"
"10068763","824587"
"10068774","1030405"
"10068774","2015357"
"10068907","1212238"
"10069016","1633052"
"10069096","3367937"
"10069341","1969800"
"10069797","1586314"
"10069797","1932698"
"10069800","1176834"
"10069800","1855510"
"10069800","1954106"
"10069854","1490767"
"10070358","726683"
"10070536","1802529"
"10070536","2843167"
"10070658","1448144"
"10070658","1748472"
"10070658","1752932"
"10070658","1893545"
"10070658","1931972"
"10070658","1965133"
"10070658","2389467"
"10070658","2642166"
"10070658","3010536"
"10070658","3555352"
"10070810","4059530"
"10070905","1202002"
"10070998","2420199"
