"10015730","2258385"
"10016702","2526176"
"10021799","3542451"
"10023964","3152432"
"10055386","3114170"
"10060643","3662372"
"10099815","3395141"
"10123672","3653871"
"10123672","980554"
"10128782","3744912"
"10128782","3764593"
"10133184","824587"
"10167516","3920355"
"10167538","3726023"
"10168834","3301704"
"10168834","4012041"
"10175161","3412357"
"10181501","1034756"
"10182593","843062"
"10188501","1701083"
"10208562","2195747"
"10210455","3561327"
"10217552","1651470"
"10233358","3805736"
"10249605","2580760"
"10268107","3471340"
"10269015","3236271"
"10269015","3327127"
"10269311","3532037"
"10270620","2923663"
"10272580","4029574"
"10280384","2026407"
"10291896","2900848"
"10320205","2097824"
"10326120","620842"
"10335662","1998911"
"10336332","1511805"
"10354066","2843479"
"10387780","3858949"
"10393257","3906018"
"10393257","3996648"
"10412975","1649174"
"10420067","2199410"
"10439379","1897456"
"10451295","3240746"
"10474992","1064655"
"10474992","1111411"
"10474992","852254"
"10499386","1002808"
"10499386","851033"
"10504040","728491"
"10507307","2556369"
"10524504","1622528"
"10577977","2506429"
"10600400","3920351"
"10615321","3090818"
"10627389","1539423"
"10633801","2262286"
"10653480","1446450"
"10669972","2105677"
"10669972","3391786"
"10691566","754687"
"10724272","2310915"
"10729011","3788154"
"10729011","4031220"
"10743584","2733876"
"10746801","924040"
"10770810","3764948"
"10782634","3847318"
"10786854","1661633"
"10810348","3181055"
"10823583","3338523"
"10823583","3338817"
"10842414","1074493"
"10856592","1857622"
"10861150","875467"
"10867066","3203839"
"10867350","2434663"
"10874985","2820359"
"10874985","3463597"
"10874985","4010006"
"10874985","628359"
"10890599","1082687"
"10929498","3522553"
"10959893","3944264"
"10961132","1560866"
"10982966","3029968"
"11009065","1566399"
"11009065","1571662"
"11016669","2845130"
"11073819","1680515"
"11076517","3152085"
"11082621","813750"
"11092244","3701848"
"11117602","1151832"
"11132302","992984"
"11134638","2926328"
"11134638","3219955"
"11137440","2843161"
"11140816","1924097"
"11160083","830169"
"11191366","3013938"
"11196231","836675"
"11233168","2106292"
"11239975","2691463"
"11246971","3250031"
"11246971","3898233"
"11249699","2137464"
"11249699","3483651"
"11249699","3824917"
"11249867",
"11264085","2028674"
"11285365","2254302"
"11287215","4021722"
"11289191","3895786"
"11289191","3921837"
"11306093","2375049"
"11309065","2692264"
"11318972","3833115"
"11337168","3288126"
"11337168","3683447"
"11337168","3772222"
"11340722","2260735"
"11345679","1899985"
